10000 10000
4184 2980 13
5924 9880 10
5619 9169 7
9886 2837 19
844 5803 18
5180 468 14
8258 8458 5
1459 312 8
7270 4026 19
79 5770 15
3364 838 12
8666 4997 5
2563 5234 5
1671 7854 5
6620 3486 8
6702 1252 2
1534 689 9
4471 2111 12
4347 613 19
343 5461 17
4452 6448 15
2363 1684 1
8418 3150 11
7392 1106 6
8978 3089 9
3911 1030 15
2719 6742 5
4998 8900 6
2592 2646 15
4666 9627 16
6315 3349 3
7931 7259 14
7917 2544 9
3361 5069 20
5330 5761 4
7335 5993 20
3252 8890 12
634 8870 16
431 9802 18
9743 2355 3
6909 213 8
8915 4561 5
1799 1823 16
529 9484 7
1041 424 8
2296 7695 19
6089 82 18
2820 437 12
85 146 18
8150 4689 3
919 3201 1
7140 7375 11
8205 112 9
6567 3789 14
4212 7982 20
136 5567 8
6472 8966 5
8415 3979 6
7941 5735 19
8068 6462 3
5086 2830 18
1189 3298 1
2846 2716 8
7243 1056 3
3884 8112 6
7085 8900 9
1396 59 14
1448 3137 4
8854 9217 12
3751 9396 9
2589 311 16
3567 1441 18
1031 7428 2
5101 4651 3
9792 9614 12
1849 2352 15
9078 2782 6
6673 2716 20
8029 1599 14
9670 9255 8
3788 1852 16
6547 790 10
5111 4919 4
2207 5906 18
9797 1133 18
4389 7397 19
609 2268 1
7735 6522 17
2294 9822 13
3063 2955 17
9915 6618 6
2313 4416 12
4769 2719 7
869 7850 19
4653 6673 19
1088 4274 3
744 934 15
235 9897 12
3342 3523 16
803 2387 4
8741 1350 1
6638 8019 4
7670 614 17
7075 3731 3
8954 5590 17
4291 2178 18
6987 5464 5
719 4594 5
5263 4531 12
5164 241 20
8341 8603 2
4597 2148 5
9956 2800 18
7551 4659 4
6944 3210 4
9919 1110 1
5144 4505 16
9768 4059 10
1348 6334 10
8928 8369 15
5582 6025 18
1001 8526 11
2689 8701 7
8950 8977 5
1241 385 6
4784 2056 11
7113 2842 2
8229 5596 9
1710 8344 16
3065 2956 7
3581 4674 16
8904 5618 8
9656 7606 13
502 4261 7
8313 8247 14
3710 3466 7
7955 7681 8
5176 549 13
2832 4381 8
7939 6794 12
1389 410 14
4800 4384 11
6194 4760 17
8078 5186 2
580 1215 9
734 4245 10
6430 24 18
4103 9958 19
7411 3668 5
3195 7615 1
4115 3463 11
3083 4280 15
3349 1496 18
8952 276 1
988 6424 17
4703 3691 5
9358 9247 8
387 4192 1
1475 2237 10
6452 5604 14
6769 6499 9
2853 6910 18
4879 4289 9
2006 9576 15
859 5953 16
5811 7858 8
4698 607 13
2114 1722 17
2521 4205 4
3824 6574 11
2871 2702 3
7795 3543 3
9514 4019 3
3186 3318 1
2939 1584 14
47 7627 8
7512 87 18
9851 5826 9
9904 3308 8
5792 5316 16
9393 688 19
4910 1647 8
7034 979 7
7999 6255 14
3452 2691 12
7108 7016 16
9640 9855 1
9032 730 16
7146 8874 18
635 3294 5
4637 503 4
745 2949 18
1306 7057 10
1126 5688 16
9538 2241 13
6672 5673 13
5691 314 20
1477 9923 11
1248 543 5
2164 1999 16
4425 306 2
3943 5795 9
8821 3468 5
781 789 8
3629 4809 19
2701 8010 13
3201 2892 20
9014 4443 8
7781 1143 9
3895 8034 13
7716 3627 19
7615 8388 9
6317 304 9
5813 8658 17
2912 8585 1
5724 5372 19
3907 4607 18
1034 5757 12
5623 4455 8
5459 7192 6
2029 9326 20
3952 4080 3
2119 1375 14
8790 2209 13
8105 7896 7
4498 5489 8
3795 4291 14
299 8242 14
1300 3083 14
8342 2363 7
327 5952 17
2971 7755 9
6739 974 6
9779 5492 1
2555 6783 7
1814 1548 7
6291 6863 19
8789 5036 7
7988 9635 3
4483 2031 6
9589 7604 12
1627 472 10
1028 2181 12
3748 7356 11
9743 6594 17
7008 6689 5
4421 5882 4
6866 8147 4
8673 6665 6
7879 730 19
5043 3026 17
6102 9244 11
524 4772 16
1302 7267 5
6934 3371 8
2971 5350 10
7377 1137 3
1396 7799 17
8379 939 4
3221 8114 11
6194 5466 9
5798 6930 16
7036 2680 10
2232 4092 14
8205 1189 15
953 4321 19
2999 6900 18
4043 4428 10
2350 7071 2
8444 1739 19
8627 1560 4
1350 4416 6
937 1892 16
1703 2660 7
2832 4000 20
3867 4238 20
3659 4971 19
4206 6477 20
6657 5765 12
5810 8169 11
7684 9744 18
9914 8639 20
3995 8469 8
6943 3599 13
7626 3131 17
235 3406 10
9350 2697 18
9950 9564 7
4882 5675 7
9730 8073 13
482 6180 11
616 7816 11
352 6286 16
9212 150 15
2160 9687 6
9643 7447 4
3365 9636 19
8156 6921 12
9406 129 5
7779 1250 2
2370 5040 2
911 4818 13
2462 5648 2
5948 8019 19
3594 5609 8
2636 4208 7
3463 5836 13
6018 5037 19
3188 7528 12
5232 9141 5
1654 6516 19
1059 9926 2
2502 3815 12
5800 3791 11
7867 4984 12
2837 2100 14
4863 2955 15
6151 7190 12
2352 9931 5
8472 6067 7
5145 1710 4
4911 3233 18
8782 8236 16
1103 6640 1
2680 7059 14
6634 5563 18
2828 2210 14
6698 1953 18
1094 2705 15
5332 3525 7
9661 8508 11
3357 2888 5
9755 9290 12
7568 295 5
2962 5102 8
8595 1577 17
5688 4895 14
1491 1160 16
4104 5061 7
2935 823 13
618 760 4
5379 6830 4
750 3149 10
3177 2583 4
2202 6906 16
2662 1004 2
999 1301 13
6722 7487 15
6695 7712 14
6437 3575 16
1810 952 10
238 3856 5
702 8386 11
9301 4522 1
4558 4816 2
6594 7150 3
6952 5043 3
6458 6451 17
1738 2320 11
2280 52 14
1387 4272 11
9860 6689 16
1456 6109 10
9160 5599 19
9575 6511 16
3892 4777 12
6070 5569 2
8970 2177 8
8093 5189 7
4191 8064 19
163 8727 4
6320 2337 12
4877 6617 19
6548 1768 11
5998 308 14
8909 7198 7
4065 8289 10
6542 7495 8
8469 7571 15
8782 4907 11
2303 9265 12
5776 2803 17
9358 5851 9
1661 1673 16
4676 1190 19
3536 6738 9
8198 4074 4
666 2652 2
4246 5365 14
9787 2208 3
6315 2091 8
6769 3250 14
5854 6262 8
2233 3094 1
6984 480 9
1497 7794 8
6030 4040 2
7713 8520 4
4904 8918 16
7246 9701 10
3607 771 10
8707 7945 8
6440 1486 11
6991 9185 5
7745 3749 11
2970 4342 17
1487 6469 19
5332 7131 20
206 3959 15
1122 751 13
7368 1539 8
5608 7376 12
7329 7480 3
5793 4200 7
1813 7336 11
971 2639 7
2011 8238 19
8432 3518 19
1826 6177 9
288 932 3
6819 5746 7
9438 4349 19
9973 305 4
331 892 20
1660 5984 2
966 2789 11
492 6270 5
4628 6091 2
1596 6891 12
5009 8502 16
5297 3794 14
8753 5543 13
8699 4956 18
852 8308 13
4249 8704 14
5705 6286 19
3013 3721 6
5597 2555 10
2221 151 9
3837 3919 12
518 435 14
1150 499 9
1353 5122 3
3125 3577 9
6753 5100 12
1619 2628 11
1889 8203 8
2009 1729 12
2150 5053 19
2926 3792 4
3809 4582 4
4898 6677 5
915 882 11
4996 4425 16
9716 9946 8
5275 8419 8
3035 8284 8
272 9794 13
3654 8532 3
2215 2596 3
5229 7233 4
5607 9082 18
3613 7575 18
4474 6748 4
5054 3246 8
6383 470 5
1211 6208 1
7104 9395 3
3763 306 3
2798 6773 1
9417 9992 2
6069 1841 11
6785 341 8
7824 4523 3
3043 2962 14
7415 9550 14
982 4231 19
9375 8349 7
5265 7394 19
6962 5587 20
279 2206 12
4651 7047 15
4722 5493 13
6733 366 7
3465 4125 17
1081 4239 17
5770 2663 5
3274 6446 3
5524 9205 4
453 1474 14
5166 4240 19
4816 7964 2
9280 2463 8
7951 2294 5
1739 6081 15
2842 2029 11
2342 1349 12
5548 5835 14
8897 5311 1
1034 7294 14
6394 322 8
7569 9120 4
6492 8541 18
3003 9977 5
496 9165 9
698 233 16
1349 6412 16
1558 6859 20
9168 4838 13
2520 4583 14
1926 8480 12
2358 1358 16
5633 3638 5
6362 2110 14
1456 1175 15
7807 6983 20
4984 62 10
3293 7045 16
1840 2826 5
6178 5037 1
1750 9843 18
2012 4330 4
52 7472 18
5236 1612 2
6382 2741 2
5071 2881 5
806 1925 18
9738 5959 8
395 9626 2
8907 2826 2
4603 7630 1
5781 2636 18
5791 3743 13
2984 5298 11
2735 3006 15
8915 2385 8
5204 1338 12
7336 6457 3
2225 8265 14
5687 6299 3
9529 8379 3
4271 970 18
4126 2052 4
561 4996 15
243 8978 20
77 2400 20
2853 7573 2
6676 9224 3
5100 8945 17
9570 7316 13
2314 5904 18
2492 7045 12
3043 8412 17
6470 1301 7
3850 2213 4
9863 9839 12
1997 3077 2
9075 3918 2
2348 2159 14
9836 3507 14
5676 3958 3
510 747 6
1053 5268 12
5126 3380 1
5665 981 18
3166 2330 18
8336 5217 14
1542 49 17
8311 1720 13
840 9937 4
2470 8781 7
397 1695 13
8226 1352 13
8863 3470 12
5464 5721 2
1956 6153 15
9544 9892 5
1699 6555 16
255 9808 20
82 8776 20
6599 7829 3
9185 4940 9
8498 754 12
8001 268 5
2404 9694 1
3264 4741 4
5377 5836 1
5010 3582 17
1075 2925 14
9863 8814 13
32 6448 4
7274 2695 1
4920 7607 18
7412 6524 8
8755 7609 11
3488 742 10
2036 3583 10
2085 6818 8
1402 3028 15
7795 9180 7
1419 3767 1
9176 4035 15
8981 9530 12
9147 9822 12
1358 6718 5
7091 8451 17
8527 6821 16
16 8328 4
5073 7247 11
5430 4966 6
4773 636 9
2016 7548 11
7488 85 11
607 5549 20
9634 5125 18
6075 621 11
1887 6869 7
1231 6540 2
7963 6476 12
9580 3140 11
6348 8184 2
6979 1491 2
4292 1200 9
7518 6108 16
4287 9196 4
8236 5204 3
7281 3654 11
5984 7181 4
3809 5322 7
4033 325 5
203 7603 13
2529 6514 3
987 3224 9
3959 7223 10
5606 6694 20
6875 2419 3
5324 5527 6
5993 6854 7
9316 2719 16
2644 8063 20
3402 9534 19
796 8977 1
5860 4599 11
7977 4523 10
9076 6728 1
7516 1176 9
6883 406 10
3413 5855 4
1360 868 11
5107 6618 7
3927 3902 2
9029 4369 5
5070 8257 14
5252 7348 20
2640 7712 16
7844 8037 11
4635 5845 3
6045 4532 10
622 8129 8
8779 1675 11
1535 4224 12
5700 7121 2
2698 2452 1
8951 3063 1
3780 3333 8
7196 7662 1
3854 7062 18
3945 5682 7
4657 6885 18
5570 4539 12
9517 1748 16
8559 8818 8
5924 1490 15
2243 1303 14
4357 412 20
7507 9395 9
2083 4989 14
6145 1344 4
2560 9714 17
1337 1353 19
2526 580 6
9924 1566 13
5775 3013 18
7632 8390 12
2598 1413 12
9105 9917 1
6977 3550 3
9600 6395 13
164 6282 15
157 9856 2
6023 8910 12
2121 5195 12
4418 5163 14
2620 2457 20
3120 9782 12
4267 4011 18
4009 8064 3
7966 9001 16
6720 7763 8
2644 9349 7
4140 5440 5
7274 6542 16
4976 8408 2
5875 770 17
7482 1291 10
4104 1880 15
4138 275 6
8561 7392 12
8573 4326 4
1537 9821 20
9863 1908 14
9011 7292 19
721 3682 15
3791 6304 7
5278 1725 1
6023 4785 12
5684 865 2
4297 7458 19
9269 2581 13
2226 8537 10
3076 4159 9
3848 5507 9
3325 5962 13
8223 9971 10
2504 2219 4
6272 4523 19
491 1767 3
1377 6528 17
1718 8283 2
6579 702 4
3285 7300 1
3789 306 1
9764 9088 9
7188 2219 2
4606 4809 15
4901 3266 18
8455 1704 2
487 2064 16
3851 6753 19
1819 2121 9
5439 3677 3
8035 7820 19
1518 2106 9
7702 2434 12
1205 9116 19
304 5216 18
4848 1638 11
954 6611 5
8209 3401 2
1411 2165 3
5079 2945 2
4956 7263 18
4906 983 5
6243 4509 15
5889 9958 1
4691 1651 14
5717 8110 18
8821 8929 10
8554 8024 16
6110 2854 9
3934 579 3
8881 9386 14
807 2337 12
9246 5873 11
9614 1448 11
2740 5157 15
425 4152 3
5321 7655 2
6346 6986 13
8181 707 18
6461 9778 6
6169 45 6
6627 8828 12
894 293 11
9038 9906 2
9933 4450 15
1422 3586 16
6659 7481 19
9800 3127 3
294 7417 2
1346 7076 16
916 5135 13
1442 5062 8
5998 25 12
7069 1859 18
4321 8343 16
5068 8235 16
4623 4624 12
5449 2816 17
9738 8277 4
5784 270 9
3266 2046 15
269 7065 10
9092 7479 4
2983 9914 15
9562 4639 4
9869 5845 1
1107 9265 9
7181 3954 4
8749 1473 3
375 8278 14
4239 7776 20
4169 9866 13
7991 6819 3
1713 5347 5
3323 75 10
6896 3864 16
8386 369 2
3345 2555 19
855 4544 11
4079 5731 15
2467 7324 18
3967 8206 2
1868 470 11
8066 458 5
1711 9760 4
4111 7253 18
3788 4904 4
2451 610 19
3648 2454 18
9201 4752 15
6521 4427 10
6645 1566 2
4088 8235 3
3212 5425 1
8405 1892 19
115 2692 7
3223 3207 11
1266 4053 6
107 5368 2
6735 8741 19
1850 9844 2
7167 952 13
754 1238 8
4229 3323 17
5012 3274 5
283 91 19
881 6678 8
4810 5903 4
9074 5386 15
8449 9123 6
4754 6057 9
9595 1735 5
8678 4535 9
5364 3038 7
8454 3340 8
3607 7350 4
9900 5352 16
3353 4969 10
8071 2315 11
362 9148 9
6513 6786 7
5360 2340 12
6958 3329 17
5769 4028 7
2889 9231 7
9532 9060 6
6407 5697 3
8839 9158 9
5365 617 17
1599 4407 12
4846 7738 8
1469 3770 3
7984 7970 5
7969 6496 9
7097 4408 9
6362 9292 9
2720 1066 16
4764 537 3
3968 8868 15
3162 7564 20
8174 2096 19
336 1409 14
3193 4122 5
8627 5380 10
3773 1777 14
9491 6098 7
7084 710 20
9891 6938 4
8576 6906 2
2556 5302 20
6647 1340 8
4429 910 11
1344 4800 13
715 8139 9
6948 2789 11
8819 7417 19
5450 3427 18
3002 8525 20
9150 7805 1
3399 7402 9
9999 6849 1
4570 5395 2
2289 226 14
3977 5305 17
4605 6285 13
9291 7094 10
4962 26 11
1231 3309 4
7240 476 2
1601 8285 1
1264 4517 2
3921 9244 6
7993 7283 8
7579 7703 13
196 2149 1
1902 8920 20
2445 4336 14
6347 91 10
7055 205 6
8886 9920 6
5125 9348 20
4677 9138 17
6200 4377 3
2495 3276 9
2083 2408 18
521 6964 19
7748 8809 16
2366 8072 13
1658 5864 9
7909 128 19
8172 6317 10
5189 8510 1
9500 2852 10
3507 6613 19
8509 4453 18
9563 9133 14
8740 3801 16
9579 7229 2
5280 5701 19
2623 1775 16
1923 6598 12
9504 7337 1
8089 8333 6
3253 5251 20
8416 7683 4
6760 9425 8
5702 6880 16
3166 310 15
7157 9005 3
2354 6900 19
5287 6153 2
2679 4381 9
7163 2673 5
798 1294 13
1685 2673 5
1912 4954 16
3054 6554 10
2352 234 4
6923 4457 2
5884 3592 17
2396 3110 5
146 4789 15
3031 6099 5
9889 542 20
6321 6889 8
6643 881 11
7819 7856 20
2137 1596 18
9375 5242 13
3560 6655 11
9215 3453 12
3880 2152 6
7796 4935 15
5799 6050 13
3000 3379 15
1844 5241 19
6871 4213 3
6459 8690 16
4358 4042 10
2203 4369 20
7562 7652 17
1740 3335 5
7155 5143 9
316 9691 15
7780 1962 7
542 959 8
8283 9094 14
5500 2068 20
2910 7726 4
2213 2463 9
7341 2194 15
4125 7124 16
9993 4116 17
5935 3190 2
9692 3316 19
3171 5225 15
9811 192 12
1986 4891 2
2775 6319 11
5243 5554 18
3517 6700 20
475 7613 17
5876 1415 12
6120 3859 2
2220 1199 19
2315 8595 11
521 3690 15
2956 6639 18
8081 438 2
5496 3561 14
8506 6555 10
7683 8657 9
5959 8709 2
7476 6666 6
5802 9651 9
790 4363 12
9477 7045 18
5947 9728 20
957 1164 3
1536 3238 13
4411 8597 15
3099 8246 2
7601 5463 19
5856 5149 1
3004 6972 2
8367 6689 4
4160 6892 9
3828 1309 4
4583 9474 12
5409 789 3
3720 2902 2
7256 5334 2
4732 2429 4
249 3776 16
2711 5400 4
2474 8985 18
5581 6615 5
4685 3026 6
7276 9938 20
5615 3445 12
8296 2412 2
7859 1690 3
4643 2724 17
6609 9346 4
8070 4159 2
1538 1351 8
5747 83 5
7461 3934 16
1968 990 4
4945 3466 10
1999 9532 13
7912 1444 16
5100 9934 6
5550 2772 16
3526 1230 5
1173 292 5
8448 1046 5
727 2311 11
2567 7551 17
7818 1606 13
3982 8674 16
707 3371 6
396 7311 7
7438 2179 13
641 9959 3
8949 2932 5
8688 4654 8
5136 8687 20
7301 6797 1
3670 6645 2
1411 9022 3
265 4098 8
9051 3308 9
7616 3708 14
1096 2999 10
3581 1710 13
6920 1811 19
3106 7077 3
4445 2481 9
3579 4126 8
523 8318 13
2261 3984 16
5117 8156 12
3159 343 12
4161 8828 17
8113 9631 10
8542 6167 14
6601 9487 15
2122 4980 14
8310 4035 6
6477 6724 3
9202 288 13
8159 2899 1
1854 108 14
8354 5309 1
7705 1488 3
2464 3248 13
9106 7662 13
110 2066 17
1119 4804 6
9289 3643 18
4679 4997 1
9751 4798 16
5245 9695 5
3377 6207 12
8691 5695 2
5348 7310 11
209 7489 20
6559 6743 4
8266 2688 20
5045 3484 18
7375 6025 8
2224 9277 11
4257 9352 7
3079 8161 2
5406 3593 20
260 9231 15
4328 6166 18
6575 217 14
1811 2616 7
1058 2559 10
3654 9117 11
5778 7746 12
1056 9742 18
7628 8939 18
4201 2813 15
2864 1774 11
2697 2693 10
4917 8020 5
8096 2640 8
4395 8086 2
6755 3275 8
3608 4197 18
6868 4767 3
4974 9167 14
5079 9995 4
2390 1964 15
4905 9262 19
920 5797 15
9254 9103 16
8899 1519 10
552 370 15
6131 2221 7
6061 3412 7
8832 7722 18
4354 99 17
9287 9779 18
8566 5004 19
6192 8314 20
616 4561 15
4672 5300 17
7344 9209 16
221 9158 5
1863 4522 19
3879 9354 10
5706 9111 6
9651 549 2
8371 4006 9
9772 6647 3
3301 4143 7
3983 6370 20
386 464 5
183 4833 19
9427 1342 1
8911 5187 6
8488 9703 9
1887 1320 20
804 359 16
9122 9344 4
2480 3125 15
7649 8827 19
7972 8974 2
5745 2317 2
2969 8398 4
3530 9640 1
7772 3975 20
1290 1903 3
1061 28 19
3139 7552 4
7952 1065 11
9936 1561 20
2420 1846 12
1102 6568 11
5151 3633 11
929 411 12
288 9020 3
2016 5462 18
1465 7697 10
6969 3466 17
1390 7651 7
3511 1832 7
1084 1526 6
1279 5872 20
4509 2295 9
3402 7244 18
3379 6739 16
3659 3080 6
2510 8784 2
4785 2793 10
3457 1778 5
523 401 9
6312 127 8
8939 1000 15
4053 3529 3
3026 3916 15
7710 9872 2
8595 359 18
1096 9576 9
503 3613 9
638 7084 15
9481 6615 5
6036 4489 4
4932 8480 20
9234 3190 6
6565 6918 16
5002 2454 16
8520 5157 20
2275 4185 15
3379 3007 16
4648 8596 14
6882 9139 8
3413 9207 6
4453 7549 7
8024 8674 4
2488 2792 11
4131 5625 8
9037 8238 4
1979 1863 9
7194 6806 1
2701 9684 3
4228 1767 13
880 915 5
6817 2385 13
9139 2904 9
